demand_GB,prices_GB,demand_DE,prices_DE,demand_NO,prices_NO_south,wind_300,wind1200,windGB,windDE,windNO,solarDE,wind0.3,wind1.2,const
36474,38.8045746,61511,58.52,18731,35.59,253.241152,1055.659788,787.505638,4452.65705,97.473207,2.05E+03,0.844137173,0.87971649,1
36315,38.42817509,61140,57.4,18803,35.76,255.488272,1060.050159,913.529319,4632.147391,103.659293,6.78E+02,0.851627573,0.883375133,1
36324,38.87644266,62337,53.71,18938,35.94,257.735392,1064.44053,1039.552999,4834.965278,109.914455,0.00E+00,0.859117973,0.887033775,1
37589,57.0481381,65016,56.12,18776,35.81,259.982513,1068,1211.71002,5050.353686,117.337758,0.00E+00,0.866608377,0.89,1
42703,80.71516646,64553,63.55,18368,35.52,262.229633,1068,1400.745541,5265.742095,124.761061,0.00E+00,0.874098777,0.89,1
45741,72.7188656,62916,55.4,18235,34.94,264.476753,1068,1589.781062,5481.130503,132.184364,0.00E+00,0.881589177,0.89,1
44654,50.53810727,58579,47.92,17895,34.06,264.135539,1068,1625.948827,5405.3559,139.08762,0.00E+00,0.880451797,0.89,1
42270,43.23721332,55833,46.85,17444,33.33,263.794326,1068,1662.116591,5329.581297,145.990877,0.00E+00,0.87931442,0.89,1
39750,41.60147965,53896,39.29,16787,32.06,263.453112,1068,1698.284356,5253.806693,152.894133,0.00E+00,0.87817704,0.89,1
36910,39.62012947,48883,36.44,15871,29.49,263.111898,1068,1734.452121,5178.03209,163.046084,0.00E+00,0.87703966,0.89,1
33538,37.66824291,45656,32.13,15289,29,262.770684,1068,1770.619886,5102.257487,173.400968,0.00E+00,0.87590228,0.89,1
30392,36.97578915,43212,18,14878,25.54,262.429471,1068,1806.78765,5026.482883,183.755853,0.00E+00,0.874764903,0.89,1
29741,37.00700986,42517,9.52,14666,22.96,267,1068,2093.749562,5874.571271,193.32787,0.00E+00,0.89,0.89,1
28875,35.54709001,42891,7.81,14709,22.93,267,1068,2401.433956,6797.489489,202.899887,0.00E+00,0.89,0.89,1
27966,34.07583847,43829,6.04,14806,24.53,267,1068,2688.645516,8069.622072,212.471903,0.00E+00,0.89,0.89,1
26909,30.81593711,45997,7.39,15459,29.01,267,1068,2965.561471,9341.754654,222.04392,0.00E+00,0.89,0.89,1
26002,36.80841554,50733,9.04,16817,32.22,266.913049,1068,3242.477426,10613.88724,231.615937,0.00E+00,0.889710163,0.89,1
26968,41.44266338,56436,14.52,18305,33.29,251.398732,1057.487377,3508.835228,11886.01982,241.187954,0.00E+00,0.837995773,0.881239481,1
31721,50.64118372,59676,19.5,18926,33.7,193.045688,872.790381,3861.856141,13501.53619,237.553818,1.71E+02,0.643485627,0.727325318,1
37325,51.71393342,60966,30.24,18660,33.47,112.547615,525.909012,4174.325208,15152.71703,233.919682,3.91E+03,0.375158717,0.43825751,1
40634,57.53390875,62591,28.46,18747,33.46,38.148884,176.421635,4402.287339,16657.20808,230.285545,6.26E+03,0.127162947,0.147018029,1
42871,50.78055487,63624,22.98,18819,33.39,0.633012,1.118631,4589.697624,18143.27083,226.651409,7.77E+03,0.00211004,0.000932193,1
44278,52.69297164,63294,21.77,18801,33.41,0,0,4651.01,19629.33359,223.017273,8.09E+03,0,0,1
45273,61.20221948,62230,21.99,18858,33.45,0,0,4582.493653,21099.3523,219.383137,7.15E+03,0,0,1
45811,54.33415536,61210,17.74,19097,33.44,0,0,4651.01,22064.75291,284.335481,5.15E+03,0,0,1
45052,52.9161529,61096,22.87,19286,33.73,0,0,4651.01,23030.15351,356.46425,2.61E+03,0,0,1
44873,46.09368064,62642,26.35,19379,33.96,0,0,4545.365698,23930.48485,421.540169,0.00E+00,0,0,1
45194,43.03876079,65026,33.84,18980,33.8,5.84992,0,4402.798192,24775.21037,486.492512,0.00E+00,0.019499733,0,1
48922,74.71639951,64498,45.86,18591,33.6,23.749725,0,4235.531763,25619.9359,544.51765,0.00E+00,0.07916575,0,1
51199,58.60665845,62463,54.99,18295,33.06,53.799609,0,4019.163466,26236.47245,595.408934,0.00E+00,0.17933203,0,1
49953,55.27127004,57984,56.28,17866,32.15,127.026795,89.60422,3796.13719,24626.45209,576.004637,0.00E+00,0.42342265,0.074670183,1
47308,51.80024661,55047,38.43,17274,30.53,198.22339,305.326843,3546.551847,22690.13458,556.60034,0.00E+00,0.660744633,0.254439036,1
44274,47.42293465,53315,34.3,16612,28.86,250.227187,584.247356,3281.041068,20541.6144,535.724049,0.00E+00,0.834090623,0.486872797,1
40656,43.55191739,48607,33.48,15849,27.44,267,851.214099,3000.257557,18178.2024,513.547709,0.00E+00,0.89,0.709345083,1
36328,38.65092478,44861,17.14,15080,26.18,267,1016.696128,2719.474047,15814.7904,491.37137,0.00E+00,0.89,0.847246773,1
32408,37.38860049,42518,7.23,14723,22.72,267,1068,2431.390596,13241.86488,466.706909,0.00E+00,0.89,0.89,1
31755,37.29901973,41893,12.97,14508,22.22,267,1068,2475.325759,13226.6269,461.13472,0.00E+00,0.89,0.89,1
31046,43.47456227,42386,12.72,14555,22.44,267,1068,2517.773829,13211.38892,455.562531,0.00E+00,0.89,0.89,1
30106,34.94069667,43735,10.73,14781,24.1,267,1068,2557.315476,13196.15094,449.990343,0.00E+00,0.89,0.89,1
29151,32.54151665,46176,12.16,15253,25.66,267,1068,2596.857122,13180.91296,444.418154,0.00E+00,0.89,0.89,1
28325,33.69384094,51143,18.07,16398,28.8,267,1068,2636.398769,13165.67498,438.845965,0.00E+00,0.89,0.89,1
29258,39.77520962,57455,36.6,18300,31.61,267,1068,2675.940415,13150.437,433.273776,0.00E+00,0.89,0.89,1
34335,52.40443896,60299,45.78,18776,32.95,267,1068,2762.792696,13954.22277,447.494574,1.39E+02,0.89,0.89,1
40695,39.23787916,61388,59.01,18597,32.88,267,1068,2849.644977,14758.00854,461.715371,3.20E+03,0.89,0.89,1
43049,40.76937731,62412,56.04,18591,33.18,267,1068,2936.497259,15539.31488,475.936168,5.06E+03,0.89,0.89,1
44494,43.55731813,63924,54.01,18443,33.26,267,1068,3023.34954,16262.72207,490.039525,6.26E+03,0.89,0.89,1
45149,44.37695438,63715,56.46,18219,33.05,267,1068,3110.201821,16986.12927,502.680234,6.52E+03,0.89,0.89,1
45899,51.74475956,62658,52.53,18220,33.07,267,1068,3197.054102,17709.53646,515.320943,5.77E+03,0.89,0.89,1
46404,49.54993835,61576,49.28,18243,33.34,267,1068,3260.504523,17567.16812,472.579741,4.18E+03,0.89,0.89,1
46396,49.00739827,60931,42.84,18564,33.51,267,1068,3323.954944,17424.79978,426.560922,2.16E+03,0.89,0.89,1
46572,54.82737361,62328,41.88,18903,33.86,267,1068,3387.405364,17282.43144,380.542103,0.00E+00,0.89,0.89,1
47317,66.23921085,66132,53.91,18783,33.96,267,1065.031426,3447.91292,17140.0631,331.948093,0.00E+00,0.89,0.887526188,1
50803,58.45970407,65718,55.31,18530,33.7,267,1054.61186,3504.313294,16997.69476,281.204464,0.00E+00,0.89,0.878843217,1
51634,64.72256473,63711,62.23,18409,33.24,262.450143,1044.192293,3560.713668,16855.32642,235.185645,0.00E+00,0.87483381,0.870160244,1
50668,50.69667078,59642,51.46,18104,32.52,256.205041,1001.007361,3871.623508,18665.81435,193.324427,0.00E+00,0.854016803,0.834172801,1
48167,50.86929716,56389,42.56,17596,31.5,249.959939,919.644858,4148.466307,20476.30228,152.075473,0.00E+00,0.833199797,0.766370715,1
45013,48.027127,54764,30.76,16932,30.57,238.429673,825.472909,4358.369361,22140.5913,124.167994,0.00E+00,0.794765577,0.687894091,1
40940,46.23304562,49902,28.4,16018,27.12,225.939468,703.115602,4534.205374,23715.54967,98.467096,0.00E+00,0.75313156,0.585929668,1
37039,44.76572133,46341,10.47,15615,28.09,213.449264,576.802901,4651.01,25123.70694,75.210864,0.00E+00,0.711497547,0.480669084,1
33167,44.75339088,44338,8.24,15103,27.21,195.942,447.248105,4651.01,26284.47445,56.163705,0.00E+00,0.65314,0.372706754,1
32621,43.01479655,43477,11.31,15005,27.14,180.557559,387.503844,4651.01,26755.51921,56.419679,0.00E+00,0.60185853,0.32291987,1
31962,41.23921085,43642,6.53,15089,27.42,165.173117,327.759583,4651.01,27226.56397,56.675652,0.00E+00,0.550577057,0.273132986,1
30748,40.01233046,44848,8.93,15291,28.27,149.070362,268.015322,4651.01,27604.28699,56.931626,0.00E+00,0.496901207,0.223346102,1
29495,36.77098027,46843,2.37,15719,28.6,132.780953,210.847374,4627.819477,27981.1228,57.1876,0.00E+00,0.442603177,0.175706145,1
28539,36.38461776,51898,11.07,16990,30.18,116.491543,171.017867,4572.12506,28357.95861,57.443573,0.00E+00,0.388305143,0.142514889,1
29444,42.60062885,58410,33.89,19006,33.28,100.202134,131.18836,4516.430643,28483,57.699547,0.00E+00,0.334007113,0.109323633,1
34440,45.52120222,62150,48.74,19652,35.05,140.448813,210.872853,4522.692424,28230.54071,58.32191,1.67E+02,0.46816271,0.175727378,1
40827,40.7797164,63645,60.69,20009,35,179.656853,327.836019,4528.954205,27726.287,58.944272,1.28E+03,0.598856177,0.273196683,1
43104,42.11635635,64770,54.7,19693,34.9,216.29478,447.362758,4535.215985,27219.79161,59.566635,2.59E+03,0.7209826,0.372802298,1
43971,52.54007398,66180,58.23,19402,34.81,243.1259,566.889498,4541.477766,26589.47447,60.188998,3.46E+03,0.810419667,0.472407915,1
44610,60.11713933,66271,55.73,19248,34.84,259.478509,684.282002,4547.739546,25959.15733,60.811361,3.65E+03,0.864928363,0.570235002,1
44808,62.45376079,65357,57.45,19155,34.8,267,797.168367,4554.001327,25193.97626,61.433723,3.10E+03,0.89,0.664306973,1
44801,53.23674476,64179,55.28,19332,34.85,267,756.605387,4560.6427,24557.74433,59.400586,1.97E+03,0.89,0.630504489,1
44602,42.72812577,63335,55.82,19466,34.89,261.250069,716.042407,4567.284072,23921.51241,57.367449,5.77E+02,0.870833563,0.596702006,1
44712,46.47644883,64064,60.57,19967,35.02,255.42807,675.479427,4573.925445,23258.17769,55.334311,0.00E+00,0.8514269,0.562899523,1
45058,56.43434032,66745,60.89,19912,34.99,249.60607,634.146826,4580.566817,22531.05549,53.301174,0.00E+00,0.832020233,0.528455688,1
49196,73.40320592,66359,62.69,19597,34.97,238.56814,591.197788,4587.20819,21803.93328,51.268037,0.00E+00,0.795227133,0.492664823,1
50963,66.88039457,63456,65.66,19170,33.86,226.924141,548.248751,4593.849562,21076.81108,49.234899,0.00E+00,0.756413803,0.456873959,1
50109,51.20221948,59750,63.96,18853,33.09,233.084429,553.475031,4461.398769,20404.98056,48.265831,0.00E+00,0.776948097,0.461229193,1
47823,52.12083847,56330,47.35,18277,31.26,239.244716,558.701311,4299.542469,19719.92365,47.296762,0.00E+00,0.797482387,0.465584426,1
44972,50.61896424,54440,43.55,17630,29.56,245.405004,563.927591,4111.162568,19034.86674,46.327693,0.00E+00,0.81801668,0.469939659,1
41302,40.88598027,49934,39.75,16910,28.62,250.282646,569.153871,3879.37368,18349.80984,45.358625,0.00E+00,0.834275487,0.474294893,1
36963,40.1972873,46237,29.81,16278,28.79,253.36279,574.380151,3621.06119,17664.75293,44.389556,0.00E+00,0.844542633,0.478650126,1
33201,40.40073983,43505,23.87,16049,27.84,256.442934,579.606431,3347.633303,16979.69602,43.515365,0.00E+00,0.85480978,0.483005359,1
32745,39.94451295,42404,18.02,15866,26.97,267,827.327944,3198.171284,16284.75464,52.290947,0.00E+00,0.89,0.689439953,1
32087,40.34525277,42589,15.88,15890,26.66,267,1001.382287,3048.709264,15589.81326,61.161407,0.00E+00,0.89,0.834485239,1
31293,39.93834772,43554,17.06,16117,26.86,267,1068,2899.247245,14845.74654,70.031867,0.00E+00,0.89,0.89,1
30361,39.32799014,44852,15.84,16615,27.83,267,1068,2749.785226,14073.58945,80.377908,0.00E+00,0.89,0.89,1
29567,39.50678175,48186,22.67,17931,28.79,259.869863,1068,2600.323207,13301.43236,91.465983,0.00E+00,0.866232877,0.89,1
30508,41.50431566,52909,27.29,19853,31.05,240.294918,1068,2444.913541,12529.27527,102.554058,0.00E+00,0.80098306,0.89,1
35581,53.67447596,56066,47.33,20689,32.72,220.727773,1029.33753,2260.192527,12016.72753,118.473971,1.59E+02,0.735759243,0.857781275,1
42075,40.97218249,57802,56.97,20468,33.8,195.013168,966.603528,2075.471513,11536.40731,135.783073,3.31E+03,0.650043893,0.80550294,1
44379,48.68565968,59220,61.44,20234,34.4,171.190349,880.600513,1901.004449,11056.0871,153.092174,5.22E+03,0.570634497,0.733833761,1
45622,62.34278668,60829,64.22,20131,34.53,145.549287,767.354422,1734.755536,10575.76689,178.951914,6.46E+03,0.48516429,0.639462018,1
45809,42.79749692,60848,62.44,19905,34.66,118.046906,663.491708,1568.506623,10095.44667,204.915566,6.72E+03,0.393489687,0.552909757,1
45776,43.52437115,59366,61.69,19781,34.77,94.475185,545.743356,1402.25771,9615.126456,230.879219,5.95E+03,0.314917283,0.45478613,1
45603,42.15081381,57867,59.34,19746,34.91,109.634179,586.313277,1303.713682,8116.307941,230.362977,4.32E+03,0.365447263,0.488594398,1
44978,41.95763255,57065,54.09,19718,34.52,125.664659,626.883198,1205.169653,6617.489426,229.846735,2.25E+03,0.418882197,0.522402665,1
44635,41.87506782,58631,51.45,20037,34.61,143.579834,662.614178,1106.625625,5603.447274,229.330493,0.00E+00,0.478599447,0.552178482,1
44881,56.14323674,62623,47.8,20062,34.76,161.111161,696.942573,1029.824397,4619.362442,228.814251,0.00E+00,0.537037203,0.580785478,1
48909,67.46609125,62644,64.39,19621,34.65,176.270155,731.270968,964.128378,3786.685489,228.298009,0.00E+00,0.587567183,0.609392473,1
50718,43.23494451,60339,71.31,19204,34.64,191.42915,765.599363,898.43236,2989.206829,227.781768,0.00E+00,0.638097167,0.637999469,1
48853,40.6682799,56657,60.8,18643,34.36,201.890378,819.352461,1045.493599,3701.992424,177.915307,0.00E+00,0.672967927,0.682793718,1
45720,40.25821208,54231,53.91,17996,33.51,212.403502,873.323798,1252.177259,4449.976311,136.465897,0.00E+00,0.708011673,0.727769832,1
42314,40.62151665,53034,40.87,17381,32.44,222.916626,922.196757,1472.769119,5298.552238,104.267992,0.00E+00,0.74305542,0.768497298,1
38668,39.29813194,49547,39.34,16851,31.33,231.619833,958.177648,1693.360978,6196.132903,76.564402,0.00E+00,0.77206611,0.798481373,1
35481,32.92292232,46447,37.01,16290,32.95,238.628582,994.15854,1913.952838,7354.070352,53.68865,0.00E+00,0.795428607,0.82846545,1
32605,37.66663995,43758,26.47,15791,30.33,245.637332,1021.837145,2150.239665,8700.441349,34.594334,0.00E+00,0.818791107,0.851530954,1
32106,42.8298397,42190,24.03,15402,28.7,252.438019,1044.474869,2318.824099,9818.114429,33.752655,0.00E+00,0.841460063,0.870395724,1
30818,37.9855672,41724,18.95,15230,28.09,256.852705,1067.112593,2487.408533,10935.78751,32.910977,0.00E+00,0.856175683,0.889260494,1
29364,37.52078915,41905,16.43,15326,28.14,261.267391,1068,2640.832671,12053.46059,32.069298,0.00E+00,0.870891303,0.89,1
28072,36.15649815,41448,13.07,15486,28.17,265.682078,1068,2792.558662,13278.25963,31.22762,0.00E+00,0.885606927,0.89,1
26604,34.53700986,41218,13.65,15749,28.37,267,1068,2944.284653,14520.11861,30.385941,0.00E+00,0.89,0.89,1
26362,35.31912454,43859,13.15,16434,29.45,267,1068,3096.010644,15719.47983,29.544262,0.00E+00,0.89,0.89,1
28197,34.80967941,47770,12.38,17335,32.27,267,1068,2994.589916,15665.4183,26.727041,1.35E+02,0.89,0.89,1
30626,39.52903822,51019,16.89,17884,33.37,267,1068,2893.169188,15611.35678,23.90982,6.13E+02,0.89,0.89,1
33643,40.10401973,53482,23.31,18416,33.57,267,1068,2791.74846,15557.29525,21.630866,1.21E+03,0.89,0.89,1
36768,41.66427867,55056,20.15,18491,33.45,267,1068,2690.327731,15503.23373,20.691792,1.73E+03,0.89,0.89,1
38028,41.19728113,54528,19.85,18387,33.24,267,1068,2588.907003,15449.1722,19.752718,1.84E+03,0.89,0.89,1
38526,41.32573983,53607,25.99,18438,32.66,267,1068,2485.608083,15395.11067,18.813645,1.51E+03,0.89,0.89,1
38615,41.09824291,52170,21.62,18421,33.03,267,1068,2414.702856,14767.60387,18.841026,8.38E+02,0.89,0.89,1
38074,40.52918002,51935,21.38,18490,33.25,267,1068,2343.797628,14133.64032,18.868407,3.88E+02,0.89,0.89,1
37725,40.52256473,53699,21.65,18755,34.14,267,1068,2272.892401,13499.67677,18.895788,0.00E+00,0.89,0.89,1
38165,50.84238594,56965,22.65,18999,34.3,267,1068,2201.987173,12865.71323,18.923169,0.00E+00,0.89,0.89,1
42371,68.48335388,56909,37.98,18939,34.24,266.976501,1068,2131.081946,12231.74968,18.95055,0.00E+00,0.88992167,0.89,1
45717,64.86436498,55040,46.87,18469,34.07,262.696531,1068,2060.176718,11658.70752,18.977931,0.00E+00,0.875655103,0.89,1
44592,43.23134402,51448,41.81,17850,33.55,264.724945,1068,2061.020449,11180.81127,18.82601,0.00E+00,0.882416483,0.89,1
42039,42.01352651,49164,35.84,17337,32.1,266.75336,1068,2061.864179,10702.91502,18.67409,0.00E+00,0.889177867,0.89,1
39177,39.85450678,49071,27.95,16873,31.5,267,1068,2062.707909,10225.01877,18.522169,0.00E+00,0.89,0.89,1
36384,39.13173243,45729,29.14,16383,29.25,267,1068,2063.55164,9747.122521,18.370248,0.00E+00,0.89,0.89,1
33792,39.03836621,41994,21.7,16152,28.51,267,1068,2064.39537,9269.226272,18.218328,0.00E+00,0.89,0.89,1
31465,43.9025894,39252,10.25,15789,28.1,267,1068,2065.2391,8791.330023,18.066407,0.00E+00,0.89,0.89,1
31188,40.89862515,38273,3.55,15610,27.58,267,1068,2106.57689,8614.288147,18.143316,0.00E+00,0.89,0.89,1
29761,38.44143033,37783,8.73,15499,27.86,267,1068,2147.914681,8437.246271,18.220225,0.00E+00,0.89,0.89,1
28413,36.94557953,38333,11.63,15504,27.78,263.665771,1068,2189.252471,8260.204395,18.297133,0.00E+00,0.878885903,0.89,1
27136,35.59000617,38030,13.64,15536,27.66,259.932022,1068,2230.590262,8083.162519,18.374042,0.00E+00,0.866440073,0.89,1
25876,33.3681566,36841,16.6,15859,28.31,256.198273,1068,2271.928052,7906.120643,18.450951,0.00E+00,0.853994243,0.89,1
25688,37.46538841,38583,12.4,16110,28.71,252.464524,1068,2313.265842,7729.078767,18.527859,0.00E+00,0.841548413,0.89,1
26734,38.56772503,41271,18.13,16532,29.59,232.550983,1067.114193,2244.821942,7742.220352,20.179989,1.48E+02,0.775169943,0.889261828,1
27925,39.09215783,44874,22.35,17061,30.43,204.538091,1011.570539,2176.378042,7755.361938,21.832118,1.85E+03,0.681793637,0.842975449,1
30189,39.692127,47724,39.92,17775,32.95,175.728898,924.843017,2107.934141,7768.503524,26.652742,3.13E+03,0.585762993,0.770702514,1
33907,40.3558693,50686,38.02,18082,33.76,145.958101,797.959757,2039.490241,7781.64511,31.60913,3.97E+03,0.486527003,0.664966464,1
36993,40.41449445,50826,38.45,18097,33.88,114.200195,673.267073,1973.270707,7794.786696,36.565518,4.14E+03,0.380667317,0.561055894,1
38970,40.33823058,49281,42.63,18071,33.92,86.538418,535.629405,1911.671196,7807.928282,41.521906,3.62E+03,0.288461393,0.446357838,1
40187,40.21465475,48070,36.22,18158,33.29,77.043182,436.595354,1742.104858,7707.276032,41.169544,2.53E+03,0.256810607,0.363829462,1
40006,40.36205302,47773,35.29,18321,33.27,67.547946,346.461551,1572.538519,7606.623783,40.817181,1.15E+03,0.22515982,0.288717959,1
39729,41.85160296,49266,43.9,19040,34.11,58.701807,272.435994,1402.972181,7505.971534,40.464818,0.00E+00,0.19567269,0.227029995,1
40329,53.88031443,53775,44.42,19037,34.22,52.37165,212.273625,1233.405842,7405.319284,40.112455,0.00E+00,0.174572167,0.176894688,1
43788,65.31442663,54974,56.7,19018,34.2,46.041493,162.923253,1066.996336,7304.667035,39.760093,0.00E+00,0.153471643,0.135769378,1
45811,54.93980888,53957,55.96,19021,34.1,39.711336,113.572882,953.95211,7204.014785,39.40773,0.00E+00,0.13237112,0.094644068,1
44507,43.54104192,51413,54.12,18882,34,50.348729,156.265926,877.268663,6653.700753,36.308342,0.00E+00,0.167829097,0.130221605,1
41999,41.89576449,50110,48.63,18630,34.04,61.479183,198.958971,800.585216,6259.924481,33.208954,0.00E+00,0.20493061,0.165799143,1
39996,40.06398274,50593,45.46,18155,33.98,77.435273,242.478023,731.026474,5893.04846,30.109567,0.00E+00,0.258117577,0.202065019,1
36751,38.55331073,47343,57.01,17479,33.69,94.811666,306.51759,667.123601,5526.172438,27.010179,0.00E+00,0.316038887,0.255431325,1
33614,31.65878545,44352,42.79,16830,33.89,114.313554,375.569859,603.220729,5159.296417,23.910791,0.00E+00,0.38104518,0.312974883,1
30164,34.09371147,42278,34.6,16495,33.42,136.32734,453.84044,539.317856,4792.420396,21.537134,0.00E+00,0.454424467,0.378200367,1
29926,34.00406289,41509,28.47,16387,32.74,151.592078,520.324974,566.63736,4569.16616,27.064141,0.00E+00,0.505306927,0.433604145,1
29253,31.02930949,42012,28.15,16425,32.46,165.648074,591.565791,593.956863,4362.148657,33.316878,0.00E+00,0.552160247,0.492971493,1
28311,28.75665845,43725,23.05,16663,32.5,178.564391,658.682514,621.276366,4155.131154,39.569615,0.00E+00,0.595214637,0.548902095,1
27298,24.19838471,47594,24.5,17362,33.45,191.480707,718.963205,648.59587,3948.113651,46.49647,0.00E+00,0.638269023,0.599136004,1
26509,30.70302713,56562,36.63,18812,33.81,205.524026,780.266069,675.915373,3741.096147,54.833454,0.00E+00,0.685080087,0.650221724,1
27764,40.00102343,64443,50.17,20651,34.62,219.614553,846.026823,703.234877,3534.078644,63.170437,0.00E+00,0.73204851,0.705022353,1
33629,54.8027127,67717,62.92,21353,34.66,211.658859,842.329537,733.541042,3561.489198,79.930423,1.81E+02,0.70552953,0.701941281,1
41005,48.49464242,67907,71.54,21108,34.75,203.703166,838.632252,763.847207,3588.899752,99.147801,9.53E+02,0.679010553,0.69886021,1
43140,43.68936498,69142,79.6,20920,34.75,195.747473,834.934967,799.654047,3616.310306,120.138214,2.03E+03,0.652491577,0.695779139,1
43955,43.67173243,70144,75.45,20771,34.76,188.142465,831.237681,836.021446,3643.72086,143.199067,2.74E+03,0.62714155,0.692698068,1
